"RMSE","f.0","f.1","f.2","f.3","f.4","f.5","f.6","f.7","f.8","f.9","f.10","f.11","W.1","W.2","W.3","W.4","W.5","W.6","W.7","W.8","W.9","W.10","W.11","S.1","S.2","S.3","S.4","S.5","S.6","S.7","S.8","S.9","S.10","S.11","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","w.11","s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","s.11","r.1","r.2","r.3","r.4","r.5","r.6","r.7","r.8","r.9","r.10","r.11","Rsq","Temp.1","Temp.2","Temp.3","Temp.4","Temp.5","Temp.6","Temp.7","Temp.8","Temp.9","Temp.10","Temp.11","RelH.1","RelH.2","RelH.3","RelH.4","RelH.5","RelH.6","RelH.7","RelH.8","RelH.9","RelH.10","RelH.11"
0,0.240469208211144,0,0,0.0755762711130206,0.160140014314503,0,0.158524026781629,0.0713141958614253,0.0645335433352797,0.0888557888183427,0.140586951564655,0,0,0,-3.69580174729552,3.42204900028689,0,-4.0925381443395,-3.45412675555283,-1.68685375769289,17.0479981923227,5.74620140915893,0,0,0,0.862415528115266,2.27480470722547,0,3.44051036607503,-2.99021471661227,-12.4053496016602,-3.70217229676869,-1.12296087969989,0,1,1,1.89962326251188,2.42559066767023,1,4.25220958912855,4.13540374157814,5.41451311592241,5.13031084061113,3.31139038675508,1,1,1,2.04375460092285,2.143758710112,1,2.72904151851311,3.22883733351636,6.66449890042508,4.91217818227211,2.81664638215006,1,0,0,0.220145823463611,-0.118882829606284,0,0.107437543028919,0.0577595786734637,-0.00985268249051584,-0.0991831919938885,-0.0437636353695582,0,0.996005246473006,0,0,7.70719339742897,10.7902737883154,0,9.30452974079393,10.5084663641384,6.92838947651373,9.41793211341322,10.8196887941846,0,0,0,45.341251137805,39.7222987411777,0,44.5664471140202,39.3496525939175,43.8032434643977,41.6416458861599,40.1584095853867,0
0,0.203812316715543,0,0,0.11491184036937,0.0659899271884125,0.180108354600811,0.105912240322417,0.0997025566716496,0.0717386231049369,0.0810188403492464,0.0768053006776134,0,0,0,-3.70502749273714,14.0648767481622,2.72095478633902,-5.86904925167205,-3.73459632362935,-2.54997747064929,16.8002492314054,5.12745816410808,0,0,0,1.25909931540653,3.11557537689089,2.93234147499307,4.10170006991144,-2.2679022549794,-11.8729571374783,-5.16211394350811,-0.880706753962578,0,1,1,1.97753828942723,6.64477064973238,3.52990995273663,3.65740949419746,4.31832918677128,5.30583263444108,5.76672908751876,2.64346891160395,1,1,1,2.08162059106152,4.72098157575677,2.59007176670858,3.05816752452216,3.26761993258543,7.13508284947344,4.03940972683836,2.59225827555565,1,0,0,0.0886152297166732,-0.0730130038072516,-0.151278008452649,0.18983919918912,-0.225143721140975,-0.137557155906554,-0.24892718538978,-0.24631075677195,0,0.997519203030957,0,0,12.7906042461626,12.3313536505109,13.6473526217426,12.7909020208383,13.2515982170444,10.411493579804,11.6436817714323,12.1344258561615,0,0,0,34.9310222305002,34.0497518355304,31.4047547501193,34.9298593613483,34.3902628015999,45.2209455286186,37.8757507949071,34.9358698961149,0
0,0.173020527859238,0,0.0865361637832533,0.147173668182106,0,0,0.103696226108387,0.136579405374675,0.113619658557156,0.11503001421862,0.124344335916565,0,0,1.3672170825396,-3.72891115648756,0,0,-5.55260126037985,-5.36889081212387,-3.28777247826999,17.4232989828561,4.60398643373878,0,0,4.07277496421109,1.75715484766257,0,0,5.00225264817907,-0.793646184187288,-8.69899709961827,-4.21747832371392,0.448563534386926,0,1,3.23348458421586,2.13039166318443,1,1,3.67844007057104,3.59592554883868,5.22519429875063,5.72617591156,3.04781126337621,1,1,2.70524861674295,2.10887185704644,1,1,3.05230048276396,3.03690368599398,7.3112494635878,4.29586606935922,3.09379635910856,1,0,0.0438931484388843,-0.00927430527882285,0,0,0.129537474874983,-0.320352936905513,-0.253754289329864,-0.12026153028429,-0.140833729273544,0,0.991002106722538,0,13.4907710874121,15.8219404415984,0,0,13.4292619663613,13.5735146238146,13.2306588662497,8.30909937772924,10.1319200883239,0,0,31.5543290554402,27.2226067086841,0,0,31.6322606759768,31.5015144606772,34.5451627245048,45.510529616189,37.5423944263793,0
0,0.124633431085044,0,0.204487966939413,0.17075925109095,0,0.0553395481072855,0,0.0723755324986964,0.117062143883354,0.102478744035136,0.076961889386466,0.0759014929736553,0,-1.34592821186372,-4.34986298108216,0,13.5403288812172,0,-4.42642768578378,-3.66123061685367,18.2313121940756,4.46511756053554,-8.74243528452653,0,4.39831014325639,1.90423589553183,0,4.6573130891349,0,-2.07191217742131,-8.30233018355084,-4.31916422164296,0.508326504672009,2.64020000234391,1,4.94110519663179,2.31449789445073,1,6.27056758227681,1,2.68721627369506,5.17268033719572,5.43827990229479,3.56226325920612,2.68929073506162,1,3.43709967185506,2.13707115308548,1,4.65096737019138,1,2.51800820409929,7.64114013573302,4.45113355632213,3.69469124491331,3.61699581419757,0,-0.0326432280240639,0.0485518288144275,0,0.364338292665584,0,0.00881391390977762,-0.174595741739752,-0.0262822230667404,-0.212636706148438,0.111048345890935,0.996315490520691,0,14.4739074587379,13.3396483307317,0,8.0439074848086,0,13.1948051476174,12.8622802606947,9.64408017542331,12.0967913498184,13.3392990944127,0,31.0646096951505,33.9352121031519,0,34.516101714297,0,31.0317890306123,33.6449673815717,34.2384374338188,33.9510176130417,33.9341292398251
0,0.0894428152492669,0.0855106475932274,0.134273713093271,0.218118573420702,0,0,0,0.0577661990161699,0.0572204082782506,0.164699549627563,0.0813764299846656,0.111591663736883,-5.06462747802592,-2.29074493004671,-4.55440566566339,0,0,0,-4.64135634630811,-1.27700205823543,16.4245179803893,2.74715580947114,-8.73040081247267,-4.87251566185171,5.88098741844495,2.24802842637068,0,0,0,-1.60670805148206,-14.0641362570344,-1.20454028120099,2.12948177201622,3.02682195156275,4.56199929642361,5.07042777261538,2.53065998859598,1,1,1,2.25600374944363,5.55558642523067,5.9790806660269,3.59814399892835,3.12658386421525,3.73577319780806,3.10287361363257,2.13048093867629,1,1,1,1.70279435099163,6.31191586389969,6.28227049690003,3.19095022221847,3.60190059735571,0.239879350514622,0.095411510009203,0.091724092757131,0,0,0,-0.113053675873414,0.407847207585162,-0.176082289887992,-0.127379388600407,0.104300921562044,0.996632550837972,15.2101795962211,16.6015264232584,16.6015267032798,0,0,0,11.4469970886772,3.8292902216397,9.3497575959931,16.9901801819947,16.6015264108575,26.8505014339844,24.3252731418552,24.3252721365346,0,0,0,29.4700927982246,49.41378337679,37.2537391990007,24.164235569144,24.3252731870476
0,0.0806451612903226,0,0.0598645461613471,0.168266780740318,0,0.0799142055362927,0.172705962099105,0.213054693639533,0.10896032735074,0.116588323182342,0,0,0,1.40478419608395,-4.90750415851711,0,9.6327338012932,-5.27096926709977,-6.03197639479109,-4.23033385945122,16.506516917529,0,0,0,3.38858706519505,2.16737500155244,0,4.35436082880001,5.92692326817315,-0.634050432457165,-10.0267779463028,-3.68634229591559,0,0,1,3.6502652800187,2.350201106574,1,7.33991735588471,4.78978852716688,3.76857584019212,5.36406613905561,5.8394493813758,1,1,1,2.22714395959165,2.14841695785742,1,5.22117106805042,2.72441791412624,3.07751989312032,7.56592805553021,5.16692513183623,1,1,0,-0.241755055185414,-0.0673473208648828,0,-0.000919032741774454,0.180047742519654,-0.187592190706536,-0.0204312967271199,-0.111234077146729,0,0,0.995656522833158,0,16.2146637062216,15.7374941686947,0,16.2419731438493,16.7663071105325,15.7085571145314,16.749602506056,9.34307199939931,0,0,0,24.207617072956,27.5151569399616,0,23.9628926461041,23.6723471750505,27.9574711490781,23.8937432779112,36.684843169159,0,0
0,0.0777126099706745,0.0519740553448524,0.108030865503713,0.187068984660376,0,0,0.124456065604708,0.0736462228994744,0.116512664667045,0.178570415063078,0,0.0820281162860794,-2.35005969344107,0.453905208920544,-5.25016176216656,0,0,-6.2529308352908,-4.88637835271444,-4.29840604173718,13.6432064651424,0,-9.57330933675047,-3.25280286830261,4.61342501759711,1.91558138351707,0,0,5.2730329805465,-1.51916261892901,-9.55893242016249,-0.818624000998626,0,0.142208507171118,2.93605645634369,3.80185871001334,2.61822901452899,1,1,3.65998668186846,2.10887726410262,5.11703861598309,6.16996238162252,1,3.51375945675663,2.5807679885263,3.37760233731228,2.01941163959323,1,1,2.47134708135743,1.87407649571153,7.39112464263397,6.50590653783606,1,3.67751830731404,-0.15573690892349,-0.209679529164143,0.121094077957642,0,0,-0.0126833985770556,0.10329947777889,-0.0619222733749257,-0.258925734697425,0,-0.116365489870772,0.99670593137243,12.817067442607,14.3742954878589,14.3936167010312,0,0,14.3655583505157,12.8169720751743,14.3669251720684,7.93382255169206,0,14.355336453601,32.3958963317525,29.951247683747,30.0467518203398,0,0,29.9607263777676,32.3968869276695,29.9579371139832,37.1916178341244,0,30.1115001030261
0,0.0747800586510264,0.0822784695757657,0,0.174346100041782,0,0.0603646273236399,0.171327992649789,0.114902571297328,0.0580987647575542,0.162854161838375,0,0.101047253864739,-1.19467256656805,0,-5.41122188265743,0,1.38282388857451,-3.90379482409922,-4.80069715598201,-2.7717658697177,12.1963576129109,0,-7.93900848505602,-4.8960030937868,0,1.49241116915038,0,0.0765064336348762,4.91367289485546,-1.72867449933323,-13.649933000312,-0.881129573072673,0,-3.14493595737902,3.31341238926871,1,2.83288542334192,1,4.76247093471271,4.75995414229583,2.15958921912227,5.2148246898245,5.8094163671349,1,4.16375948847546,2.20120914212746,1,1.90493018456361,1,2.97881318413012,2.60613883602684,1.76325710334538,4.56721618264582,6.34002938307161,1,4.55755590589079,-0.0113889681255788,0,0.143333588308204,0,-0.314197103724962,0.0764351418931428,0.0559164344159815,0.170365970551514,-0.240206869631218,0,-0.199310340231559,0.995883674720389,5.43218246131685,0,5.96828520399715,0,6.7527669762789,5.80262024922557,6.1248992699874,0.89450636346594,3.92803497374764,0,6.1880494594774,54.8396559400021,0,49.7083424056761,0,48.9499854907761,48.4306823433005,49.4744308230673,60.5397075502077,54.2148321267837,0,51.2125367837141
0,0.117302052785924,0.0889234386497469,0,0.154837644754866,0,0.11391880488937,0.150295891235922,0.105018008654303,0.0939334670478422,0.124370737247582,0,0.0513999547344435,0.344937257808362,0,-5.35666866273118,0,3.33324973903796,-6.23485483082256,-3.50812404829894,-3.88852642986682,11.743761839094,0,-5.02874360578774,-5.19791184187089,0,0.166320232755644,0,-0.0917004559232374,2.57252077450932,-2.02947411203898,-10.0844712527711,-1.441051431269,0,-5.08937054793103,2.84634773006175,1,2.66705559715818,1,3.08867387808381,4.13467384715656,1.97498106010857,5.19209986500663,5.05832768238526,1,2.32330643874512,2.47572505544171,1,2.54330040844917,1,4.77726634045336,3.05825858861295,1.81624838929219,5.81727943769354,5.99108944413709,1,1.7746659233255,0.262471669301853,0,0.572634352546628,0,-0.193377194474651,0.189875443649479,-0.099605800677029,-0.067316097716727,-0.247560956413302,0,-0.0414244599952908,0.997613760426647,4.82574493691843,0,4.19888968246127,0,4.76954416283152,4.42634659053956,5.00280781955556,4.82663466092665,2.04137069932258,0,5.16523935725403,56.3111482978012,0,56.2364623338107,0,56.279636869952,56.3912503018312,55.5767683442237,56.3121854178013,56.6488775877692,0,56.7743464833723
0,0.168621700879765,0.064496531886014,0,0.0545559681969422,0,0.0669547763558126,0.165198870401188,0.179865329728813,0.0757769756639127,0.0775687044273795,0.146961142460172,0,-0.895953662650779,0,-4.5465651460814,0,10.3135284546444,-4.2872451184906,-4.09144564751459,-4.14554900510264,8.29236577663691,3.36077807317564,0,-6.31868127424805,0,-0.156718411829219,0,-6.03810138193491,1.96686729056931,-3.31424846420145,-10.6089674437541,2.10936048447534,-2.10082337076718,0,2.7804928643498,1,1.81068901921359,1,6.10297873644513,4.60951833957148,3.12123614061839,5.13688929663905,4.88327430965213,2.67772198961476,1,2.3505795982899,1,1.52159471430702,1,3.55430737456829,2.99869539173142,2.10781564287739,5.69976161269251,5.0216099221175,3.31737372997329,1,0.0817893103985028,0,0.0315149713627235,0,0.146071092781634,0.174543964746252,-0.0636848223143004,-0.266856704667103,-0.177711595652567,0.274863260022386,0,0.995643702210262,2.78884042666825,0,3.35196954073665,0,3.08120029419201,3.92745218262146,3.03900930153275,4.17214716598954,1.69614870786232,3.19863244852315,0,62.2479105612986,0,61.3861996037124,0,61.7448897360915,60.4146456476101,62.5387585550503,62.0932399364722,63.9357184085273,61.9217596728479,0
0,0.193548387096774,0,0,0.0214384412467981,0,0.136700818511252,0.0866777927103382,0.0731076462277653,0.109051200538163,0.155850929414657,0.159963541385981,0.0636612428682713,0,0,-2.56045227229622,0,3.14138575474013,-5.23414357246643,-2.77470316684646,-3.18653731889627,7.07531577243358,2.72705791846668,-6.81504541996875,0,0,-1.93025888412215,0,1.21908287716701,-0.99013409010596,-4.47439173728353,-8.08607937667607,-2.82278862173577,-2.78909378224593,1.91661768320138,1,1,1.70282513850269,1,3.942068310836,2.37614318421056,2.08904560121687,4.87680480454635,6.66003040827643,2.5180306170286,3.90251757681789,1,1,1.31383841797443,1,4.0181584862831,2.66433308052734,1.89301841440158,6.25368056335825,4.5206003420537,3.50323805566622,2.99707596109848,0,0,-0.393053005532646,0,0.283758358442525,0.439456762042203,0.0833048030640557,-0.213431094034316,-0.0675971544442787,0.519654852286569,0.244092337185323,0.994086101676662,0,0,0.616641510245728,0,2.44409260157434,3.40964660705811,4.16559813533353,2.87531656870063,2.44383002504238,2.35193921633203,2.42017450447309,0,0,69.2597258670424,0,67.3938653219346,65.4436936268494,63.3518144636277,64.7937115069542,67.3857510307309,67.2724505754307,68.6867799864477
0,0.195014662756598,0.0828613587009014,0,0.0403468492595001,0.0811658468780637,0.149346987395632,0,0,0.113844587327751,0.0733625430545307,0.0930669258836755,0.170990238743347,-0.21832992980453,0,-3.15049196893063,4.07284123263654,4.28822579103289,0,0,-0.572161679518354,9.90435033269955,3.4348910957275,-4.86154123699395,-5.41291165049914,0,-2.31903128252815,1.52186361975033,2.0569296168793,0,0,-7.74088348616101,-4.75269239542067,-2.03681155797009,-0.39911666591854,3.50104813897045,1,2.31786739451567,1.86959546495334,4.84747608552834,1,1,4.4138193400154,6.13148522135152,2.24918978769106,4.07700056844164,1.96613215252928,1,1.69354239845824,1.73027717133759,3.55709416599082,1,1,5.55090794641354,3.62031522326334,1.74954880850942,3.65270051868023,-0.00615355717937407,0,-0.354884926712697,-0.177709425922646,0.0902897379761543,0,0,0.13781939275562,0.232884616370798,0.212633660718159,-0.0701492041206857,0.995187376789101,0.25218085373822,0,0.941537611646635,1.62440397345087,1.47516545267386,0,0,1.48166841557899,1.1895770297477,1.08042511946131,0.780487878290599,71.2093990880315,0,73.7318760686806,69.0626752846505,72.7531423407599,0,0,72.7375021628749,71.9457350873097,72.1612481569124,72.6457362781333
0,0.271260997067449,0.101719203991729,0,0,0.102121302160172,0.116203899977491,0,0,0.102844712586365,0.0559270266218121,0.0683689270434141,0.181553930551569,-0.396197171636984,0,0,3.97477435203682,3.4824172897701,0,0,1.44700809586242,12.5364110542638,4.51651348200581,-4.43391338804165,-4.15865936125821,0,0,0.574737758491005,2.72974925937149,0,0,-7.35808724527819,-3.00513069074343,-2.47494496889327,-0.433210522446015,3.28280012712829,1,1,1.71974837084774,3.66611599246318,1,1,4.6833677849068,4.69576461104597,2.80526248100656,4.03783584279361,2.34662540353461,1,1,1.96178027151682,3.02386646840976,1,1,5.63673199412781,4.44284355456594,2.4443188056394,3.65063001487805,0.13109046407107,0,0,0.0316466242871568,-0.0215663409944344,0,0,0.451678716194868,0.319180541957983,0.357145369119952,-0.111990727084628,0.992783076593286,1.74990826922913,0,0,0.846575168665707,1.45223511461827,0,0,1.57704655183066,0.161285688997596,1.15992075756867,0.85371843974217,75.7496479223681,0,0,73.1577714889695,75.3578807063176,0,0,75.5337709614035,73.0658136471489,74.0495257884069,74.9501140720264
