"RMSE","f.0","f.1","f.2","f.3","f.4","f.5","f.6","f.7","f.8","f.9","f.10","W.1","W.2","W.3","W.4","W.5","W.6","W.7","W.8","W.9","W.10","S.1","S.2","S.3","S.4","S.5","S.6","S.7","S.8","S.9","S.10","w.1","w.2","w.3","w.4","w.5","w.6","w.7","w.8","w.9","w.10","s.1","s.2","s.3","s.4","s.5","s.6","s.7","s.8","s.9","s.10","r.1","r.2","r.3","r.4","r.5","r.6","r.7","r.8","r.9","r.10","Rsq","Temp.1","Temp.2","Temp.3","Temp.4","Temp.5","Temp.6","Temp.7","Temp.8","Temp.9","Temp.10","RelH.1","RelH.2","RelH.3","RelH.4","RelH.5","RelH.6","RelH.7","RelH.8","RelH.9","RelH.10","Pres.1","Pres.2","Pres.3","Pres.4","Pres.5","Pres.6","Pres.7","Pres.8","Pres.9","Pres.10"
0,0.0279069767441861,0,0,0.344092789546899,0.373455896412766,0,0,0,0,0,0.254544337296149,0,0,-0.756958944724399,-5.31891660860143,0,0,0,0,0,3.40626210328459,0,0,-8.52575687880453,1.2990808671718,0,0,0,0,0,1.79216172435514,1,1,4.34480744966519,3.37148025099449,1,1,1,1,1,6.15628316844516,1,1,4.17840043444913,4.42223022437812,1,1,1,1,1,7.02582066344463,0,0,-0.105761828377512,-0.265839642137375,0,0,0,0,0,-0.384170454906042,0.992397276633046,0,0,15.7023320161938,14.9307635103913,0,0,0,0,0,16.1181879835357,0,0,43.4545243966096,60.1029889177094,0,0,0,0,0,45.0331392642571,0,0,1022.97183613116,1022.46838335485,0,0,0,0,0,1022.12241263423
0,0.0354609929078015,0.223148568519831,0,0.200571743730853,0,0,0.344637803864493,0,0,0,0.196180890977021,1.26705900217229,0,-3.29782460961603,0,0,-5.09193624391304,0,0,0,4.94589075485137,-9.83414251801616,0,-5.30988640449983,0,0,4.07886042921625,0,0,0,3.06384195306113,4.80145307090078,1,3.37335293060057,1,1,3.89109627903942,1,1,1,5.46533104191415,3.76868349252413,1,3.5510823974629,1,1,3.78381249576267,1,1,1,6.97959016771799,0.123829411284853,0,-0.139713871874281,0,0,-0.0946275895513406,0,0,0,-0.474904668960345,0.990972282303381,15.774004901916,0,17.3015496693671,0,0,19.8351616906148,0,0,0,17.4094466626887,35.7016039919807,0,41.9621215613415,0,0,88.9248444640768,0,0,0,43.4215111934512,1022.47472564581,0,1021.91505247791,0,0,1018.2663824089,0,0,0,1020.93510005268
0,0.0167865707434053,0.227274133784204,0,0.243865892445933,0,0,0.265602603738067,0,0.24647079928839,0,0,3.92169722382927,0,-2.9103139169107,0,0,-5.24934432787198,0,1.53134306996226,0,0,-8.59324560606007,0,-6.0505655014432,0,0,4.79229153795864,0,6.46903149782294,0,0,5.65218723383011,1,3.55840336897489,1,1,3.946491243193,1,5.54650316233963,1,1,4.20261357856372,1,4.36527805345857,1,1,3.29292103360019,1,4.66061084710205,1,1,0.188378876383278,0,-0.241451132807008,0,0,-0.13091406758306,0,-0.16992977117324,0,0,0.992671513977099,16.5583275497459,0,18.2581718147211,0,0,19.5413248658826,0,16.9206828471738,0,0,34.2809884335706,0,44.2432123229364,0,0,87.7843619367024,0,68.8705395283083,0,0,1021.49209839723,0,1019.92441156167,0,0,1017.57345497108,0,1019.48648830482,0,0
0,0.00954653937947492,0.0892247614941755,0,0.368842126297776,0,0,0.270679667595358,0,0.261706905233216,0,0,9.16234852565077,0,-0.774504934852092,0,0,-4.90355237087839,0,1.36593548601156,0,0,-5.51802519858388,0,-7.606086620258,0,0,4.5275908750966,0,7.99930444882517,0,0,3.6791821987758,1,4.43165842785216,1,1,4.00134902253468,1,5.37487432369144,1,1,4.8525489734623,1,4.42312333451447,1,1,3.208262320928,1,3.48914466952636,1,1,-0.0618993844609533,0,-0.233646987076928,0,0,-0.19278131279842,0,-0.164797839814617,0,0,0.990811898591413,16.1902548755453,0,18.4872070698918,0,0,17.0177932497976,0,17.052658415771,0,0,40.9413176848474,0,37.7605999465671,0,0,68.4312778475881,0,68.6273934790401,0,0,1018.69718123431,0,1020.38519494203,0,0,1018.85743724973,0,1018.78307738656,0,0
0,0.00709219858156029,0.207296252646403,0,0.202486531074378,0,0,0.235480820394401,0.0622574375095197,0.285386759793737,0,0,4.50342705309219,0,-1.97751056913407,0,0,-5.72955433835001,8.78858719213632,0.611306888397405,0,0,-7.90469052971941,0,-7.56230008446661,0,0,4.48642772605683,6.22907103717402,7.38498062450148,0,0,5.06841758493629,1,3.94382119006347,1,1,3.57298603879287,3.71339815894143,3.69686125077411,1,1,4.15843889918784,1,4.06668341692678,1,1,3.53799010748587,3.9709492510708,3.44873840588136,1,1,0.132374381216396,0,-0.255619231797969,0,0,-0.310996409114865,-0.285427376473678,-0.0636273391855029,0,0,0.992804190679635,17.3021286175173,0,17.8134214814828,0,0,19.0105358329402,16.4323450862843,17.179898076653,0,0,30.565672555834,0,32.6245728490502,0,0,87.9841956188425,61.6225923930901,68.1029786512511,0,0,1020.88446568956,0,1020.84151998206,0,0,1017.17245906474,1016.95306201799,1018.63990491348,0,0
0,0.00943396226415094,0.115949846102108,0,0.215487107181878,0.0958010798999491,0,0.144847889645015,0.0628429312098267,0.179786066087725,0.175851117609347,0,6.68808072036562,0,0.64552037889288,-4.69207882946845,0,-6.91998069286396,9.15870381275651,2.59620432198706,-2.30349173393418,0,-7.70705123812314,0,-8.02623330037135,-4.0321877679806,0,5.80989659395949,5.90162651170288,6.2100453873748,6.079714233329,0,4.30666560122316,1,3.41032042849883,2.73777097112984,1,3.349270007309,3.18600768731752,2.70790464541686,2.87585595939335,1,4.49991725282115,1,3.72943579146586,5.00014209571465,1,2.91625795992426,3.78550150750322,2.87981516417392,4.49836984070995,1,0.0916290528255341,0,0.08107557905912,0.0591697842681535,0,-0.178137652941906,-0.224373575193751,0.0539945670434226,0.268879272168832,0,0.995833815818433,16.9049158136721,0,16.8906896998786,17.4344800980452,0,18.6513422586652,16.5010314723855,16.7402976730331,18.6412195730417,0,32.620369801543,0,32.5448324622691,50.096024344662,0,77.291037565676,60.8679888542013,64.3322557638415,84.5475858587168,0,1021.04493320827,0,1021.08049129401,1021.97894730816,0,1021.56638837649,1017.25408563943,1018.15525802929,1018.07125795377,0
0,0.00462962962962965,0.0964488403537687,0,0.310087144750953,0,0,0.149198283168222,0.154572517140451,0,0.285063584956975,0,6.15127201152473,0,-0.263879160420481,0,0,-6.41400567500213,4.31607389516255,0,-0.330131378281078,0,-8.39597806190338,0,-6.66694497993373,0,0,4.4690419851412,4.72880481433366,0,5.6755449215197,0,4.49882723610215,1,3.91089391387345,1,1,3.33044435767847,4.6225900346866,1,3.92496653901092,1,4.4859048832448,1,3.63801387726452,1,1,3.39703173134182,2.82286405889953,1,3.92114717909129,1,0.29115052817205,0,-0.00414766338570971,0,0,-0.331556674544669,0.0263380325260089,0,0.00622525260259602,0,0.990377534245207,15.3075032000659,0,16.7400702807115,0,0,17.7352308244945,16.1064969074399,0,16.4742531642904,0,36.85486704863,0,43.2851022001738,0,0,80.990456203104,68.373344658538,0,70.4466662695458,0,1021.16944257638,0,1020.12119377841,0,0,1021.4883135687,1019.05036808376,0,1018.6719427623,0
0,0.0412621359223301,0.154753549583521,0,0.205625705597658,0,0,0.187771533395454,0.410587075501038,0,0,0,2.41368070866693,0,-0.107852532260126,0,0,-5.07723378353198,1.60392334118038,0,0,0,-8.77754856278719,0,-5.19720681803132,0,0,4.07296617461414,3.60198089745291,0,0,0,4.65549273390049,1,3.39398511571836,1,1,3.74749366215892,4.46310142305578,1,1,1,3.64751050802348,1,2.51694413695364,1,1,3.70722675340282,3.72102464749554,1,1,1,0.105577093150651,0,-0.0203209615386204,0,0,-0.268877727585921,-0.099583193516822,0,0,0,0.987369575634707,12.2284726745035,0,12.810253043762,0,0,14.2123039817509,13.8530768899513,0,0,0,47.6096067521249,0,49.4027691573974,0,0,54.4885602455614,52.8216364658272,0,0,0,1022.02264967894,0,1021.91082571215,0,0,1020.01602299069,1020.24002274476,0,0,0
0,0.107317073170732,0.1351675761429,0.134314797181607,0.183138252992111,0,0,0.199965406214158,0.240096894298493,0,0,0,1.18369429187443,2.76535001663155,-0.846308420863652,0,0,-3.54880503152772,1.29334358791266,0,0,0,-8.24228718340725,-1.65795471037237,-3.94550137553897,0,0,3.29034826852285,3.77733459100054,0,0,0,4.35757727559149,2.04832256573841,3.24183610477284,1,1,4.36951542088513,5.11340803447749,1,1,1,3.46120246271306,3.53436444757861,2.60381021390818,1,1,2.66608082023381,4.27491420333223,1,1,1,-0.0555157367227441,0.123002024548449,-0.321317767120282,0,0,-0.322253867640387,-0.362420801146175,0,0,0,0.994901699262761,11.0913682408542,12.3662964176344,11.8311621727896,0,0,15.551326761958,12.7987678124858,0,0,0,62.9959548989365,64.8716161999266,65.2538698859281,0,0,77.3084965211464,66.013000505465,0,0,0,1023.34708842912,1020.92122271359,1022.52064767977,0,0,1018.97136189531,1020.63085859423,0,0,0
0,0.148241206030151,0.280263844436293,0.125480308411189,0,0,0,0.224043075411473,0,0,0,0.221971565710895,0.126267559084961,2.3658074661163,0,0,0,-3.63620215519673,0,0,0,1.96044393648507,-5.33108533821903,-2.7233702930306,0,0,0,2.65652750054814,0,0,0,1.64515284645278,3.72369134020263,2.24454573730021,1,1,1,4.53592756600246,1,1,1,4.53083297031477,4.25375547943688,2.58006523702498,1,1,1,3.87929816666094,1,1,1,4.74057862449549,-0.174018159710391,0.405781788437593,0,0,0,-0.335851895202574,0,0,0,-0.24565904275405,0.99313802168612,12.071981967984,11.5912922256064,0,0,0,13.1742103660036,0,0,0,12.0732775464638,69.9464303078597,68.0608806795648,0,0,0,72.1866263682645,0,0,0,69.9479416746369,1021.09129300632,1021.55127692566,0,0,0,1020.30276255877,0,0,0,1021.09062881984
